97;-50494;39844;0
371;-50430;40109;0
510;-50397;40244;0
784;-50333;40509;0
914;-50302;40635;0
1173;-50241;40886;0
1306;-50209;41014;0
1585;-50143;41284;0
1732;-50108;41426;0
2033;-50036;41717;0
2186;-49999;41866;0
2496;-49924;42165;0
2641;-49890;42305;0
2790;-49853;42450;0
3083;-49782;42733;0
3229;-49747;42874;0
3384;-49709;43025;0
3534;-49672;43169;0
3823;-49601;43449;0
3967;-49565;43588;0
4252;-49495;43863;0
4382;-49463;43989;0
4643;-49398;44241;0
4772;-49366;44366;0
5024;-49304;44609;0
5150;-49273;44730;0
5397;-49212;44969;0
5519;-49182;45087;0
5765;-49121;45325;0
5893;-49090;45448;0
6157;-49025;45703;0
6293;-48992;45836;0
6437;-48957;45975;0
6729;-48886;46257;0
6877;-48850;46400;0
7171;-48778;46684;0
7315;-48743;46823;0
7592;-48675;47092;0
7728;-48642;47223;0
7865;-48609;47355;0
8142;-48541;47623;0
8285;-48505;47761;0
8573;-48433;48040;0
8717;-48397;48178;0
8861;-48361;48317;0
9141;-48291;48588;0
9280;-48255;48721;0
9550;-48187;48982;0
9685;-48152;49112;0
9948;-48085;49366;0
10083;-48051;49497;0
10348;-47983;49753;0
10481;-47949;49882;0
10745;-47881;50137;0
10874;-47848;50262;0
11121;-47785;50500;0
11248;-47752;50623;0
11506;-47687;50873;0
11639;-47653;51001;0
11903;-47586;51257;0
12037;-47553;51387;0
12294;-47488;51635;0
12421;-47457;51758;0
12672;-47395;52002;0
12801;-47363;52126;0
13054;-47301;52371;0
13182;-47270;52496;0
13439;-47207;52746;0
13565;-47176;52868;0
13819;-47115;53114;0
13945;-47084;53236;0
14076;-47052;53363;0
14339;-46989;53619;0
14474;-46956;53749;0
14743;-46891;54010;0
14882;-46857;54145;0
15152;-46792;54407;0
15285;-46760;54536;0
15545;-46697;54788;0
15673;-46667;54912;0
15923;-46607;55156;0
16052;-46576;55280;0
16312;-46514;55533;0
16445;-46482;55662;0
16717;-46417;55926;0
16853;-46384;56058;0
17115;-46322;56312;0
17245;-46290;56439;0
17497;-46229;56683;0
17625;-46198;56807;0
17758;-46166;56936;0
18029;-46100;57198;0
18164;-46067;57330;0
18438;-45999;57595;0
18571;-45967;57724;0
18831;-45902;57976;0
18958;-45870;58099;0
19210;-45806;58342;0
19330;-45776;58459;0
19566;-45715;58686;0
19683;-45685;58800;0
19912;-45626;59020;0
20025;-45596;59130;0
20255;-45536;59352;0
20370;-45506;59463;0
20599;-45445;59684;0
20712;-45415;59793;0
20828;-45384;59905;0
21055;-45323;60123;0
21168;-45293;60232;0
21389;-45233;60445;0
21499;-45203;60551;0
21718;-45144;60762;0
21829;-45114;60869;0
22053;-45053;61086;0
22162;-45023;61191;0
22378;-44964;61400;0
22485;-44934;61503;0
22691;-44877;61702;0
22789;-44850;61796;0
22980;-44797;61981;0
23072;-44771;62069;0
23248;-44722;62239;0
23335;-44697;62322;0
23507;-44648;62488;0
23592;-44624;62570;0
